League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Austria - 2. Liga,League average,,,93.3%,78.3%,57.9%,35.4%,17.5%,7.1%,56.7%,25.0%,25.0%,18.3%,18.3%
Belgium - First Division A,Club Brugge,30.0,3.37,100%,87%,67%,37%,23%,17%,70%,27%,3%,27%,3%
Belgium - First Division A,Westerlo,30.0,3.3,97%,87%,67%,40%,20%,13%,70%,17%,17%,13%,13%
Belgium - First Division A,Sint-Truiden,30.0,3.23,97%,93%,60%,30%,23%,13%,73%,13%,17%,10%,13%
Belgium - First Division A,KRC Genk,30.0,2.93,93%,83%,60%,33%,17%,3%,53%,40%,13%,33%,7%
Belgium - First Division A,Beerschot,30.0,2.87,87%,73%,60%,37%,20%,7%,50%,17%,47%,3%,33%
Belgium - First Division A,KV Mechelen,30.0,2.83,93%,73%,50%,27%,20%,13%,57%,30%,20%,23%,13%
Belgium - First Division A,Dender,30.0,2.8,87%,70%,53%,33%,27%,7%,53%,23%,37%,10%,23%
Belgium - First Division A,Kortrijk,30.0,2.77,100%,80%,60%,23%,10%,3%,53%,10%,37%,10%,37%
Belgium - First Division A,Antwerp,30.0,2.63,93%,80%,50%,23%,10%,3%,60%,23%,23%,17%,17%
Belgium - First Division A,Anderlecht,30.0,2.57,90%,80%,47%,23%,13%,3%,33%,47%,30%,37%,20%
Belgium - First Division A,Gent,30.0,2.47,83%,67%,40%,27%,20%,10%,47%,43%,27%,27%,10%
Belgium - First Division A,Royale Union SG,30.0,2.47,80%,70%,53%,30%,7%,3%,50%,43%,27%,23%,7%
Belgium - First Division A,Cercle Brugge,30.0,2.43,90%,77%,43%,20%,13%,0%,53%,23%,33%,13%,23%
Belgium - First Division A,Charleroi,30.0,2.4,97%,63%,37%,20%,13%,7%,47%,23%,33%,20%,30%
Belgium - First Division A,OH Leuven,30.0,2.03,87%,67%,23%,17%,10%,0%,43%,30%,40%,17%,27%
Belgium - First Division A,Standard Liege,30.0,1.9,80%,57%,37%,7%,7%,3%,33%,40%,47%,20%,27%
Belgium - First Division A,,,,,,,,,,,,,,
Belgium - First Division A,League average,,,90.8%,75.4%,50.4%,26.7%,15.8%,6.7%,52.9%,28.1%,28.1%,19.0%,19.0%
Belgium - First Division B,Anderlecht B,28.0,3.39,100%,86%,68%,54%,25%,7%,68%,11%,21%,11%,21%
Belgium - First Division B,KRC Genk B,28.0,3.29,96%,82%,75%,54%,18%,4%,61%,11%,32%,7%,29%
Belgium - First Division B,Eupen,28.0,3.04,93%,75%,68%,46%,14%,4%,54%,18%,36%,11%,29%
Belgium - First Division B,Zulte-Waregem,28.0,3.04,89%,75%,68%,46%,21%,4%,64%,25%,21%,14%,11%
Belgium - First Division B,Seraing,28.0,2.96,89%,79%,57%,36%,21%,7%,57%,18%,36%,7%,25%
Belgium - First Division B,RFC Liege,28.0,2.93,96%,86%,64%,29%,11%,7%,71%,14%,18%,11%,14%
Belgium - First Division B,Club Brugge B,28.0,2.89,100%,86%,64%,32%,7%,0%,57%,21%,21%,21%,21%
Belgium - First Division B,Francs Borains,28.0,2.82,96%,71%,64%,39%,11%,0%,61%,18%,25%,14%,21%
Belgium - First Division B,Patro Eisden,28.0,2.82,93%,71%,50%,46%,18%,4%,57%,36%,14%,29%,7%
Belgium - First Division B,Lommel SK,28.0,2.79,100%,82%,54%,29%,11%,4%,57%,14%,29%,14%,29%
Belgium - First Division B,Lierse K.,28.0,2.68,93%,71%,57%,36%,7%,4%,54%,29%,25%,21%,18%
Belgium - First Division B,La Louviere,28.0,2.64,89%,79%,50%,21%,14%,7%,61%,36%,14%,25%,4%
Belgium - First Division B,Beveren,28.0,2.43,82%,68%,46%,32%,11%,4%,36%,46%,36%,29%,18%
Belgium - First Division B,Lokeren-Temse,28.0,2.39,96%,61%,43%,29%,11%,0%,36%,32%,36%,29%,32%
Belgium - First Division B,RWDM,28.0,2.25,93%,64%,43%,7%,7%,4%,43%,50%,14%,43%,7%
Belgium - First Division B,,,,,,,,,,,,,,
Belgium - First Division B,League average,,,93.8%,75.7%,58.1%,35.7%,13.8%,3.8%,55.7%,25.2%,25.2%,19.0%,19.0%
Brazil - Serie A,Juventude,10.0,3.0,100%,80%,50%,40%,20%,10%,40%,10%,50%,10%,50%
Brazil - Serie A,Mirassol,10.0,2.8,100%,90%,50%,30%,10%,0%,80%,10%,10%,10%,10%
Brazil - Serie A,Corinthians,10.0,2.6,90%,80%,50%,20%,10%,10%,40%,30%,40%,20%,30%
Brazil - Serie A,Internacional,10.0,2.6,90%,80%,40%,30%,10%,10%,60%,20%,30%,10%,20%
Brazil - Serie A,Fluminense,10.0,2.5,100%,90%,40%,10%,10%,0%,60%,20%,20%,20%,20%
Brazil - Serie A,Vasco da Gama,10.0,2.4,90%,70%,70%,10%,0%,0%,50%,20%,40%,10%,30%
Brazil - Serie A,Vitoria,10.0,2.4,100%,80%,50%,10%,0%,0%,70%,0%,30%,0%,30%
Brazil - Serie A,Flamengo,10.0,2.3,80%,70%,40%,20%,10%,10%,30%,70%,20%,50%,0%
Brazil - Serie A,Gremio,10.0,2.3,100%,80%,30%,10%,10%,0%,60%,20%,20%,20%,20%
Brazil - Serie A,Cruzeiro,10.0,2.2,90%,70%,50%,10%,0%,0%,30%,50%,30%,40%,20%
Brazil - Serie A,Sport Recife,10.0,2.2,80%,70%,50%,20%,0%,0%,50%,20%,50%,0%,30%
Brazil - Serie A,Atletico MG,10.0,2.0,70%,50%,40%,30%,10%,0%,40%,50%,40%,20%,10%
Brazil - Serie A,Bragantino,10.0,2.0,100%,50%,40%,10%,0%,0%,50%,50%,0%,50%,0%
Brazil - Serie A,Ceara,9.0,2.0,89%,67%,33%,11%,0%,0%,44%,44%,22%,33%,11%
Brazil - Serie A,Fortaleza,10.0,2.0,70%,70%,40%,10%,10%,0%,30%,50%,50%,20%,20%
Brazil - Serie A,Bahia,10.0,1.9,100%,50%,30%,10%,0%,0%,40%,30%,30%,30%,30%
Brazil - Serie A,Santos,10.0,1.9,90%,50%,40%,10%,0%,0%,40%,30%,40%,20%,30%
Brazil - Serie A,Palmeiras,10.0,1.7,90%,50%,30%,0%,0%,0%,30%,50%,30%,40%,20%
Brazil - Serie A,Sao Paulo,10.0,1.7,70%,60%,30%,10%,0%,0%,50%,30%,50%,0%,20%
Brazil - Serie A,Botafogo,9.0,1.67,78%,44%,22%,22%,0%,0%,11%,56%,56%,33%,33%
Brazil - Serie A,,,,,,,,,,,,,,
Brazil - Serie A,League average,,,88.9%,67.7%,41.4%,16.2%,5.1%,2.0%,45.5%,32.8%,32.8%,21.7%,21.7%
Brazil - Serie B,Athletico PR,9.0,2.78,100%,89%,67%,11%,11%,0%,78%,22%,0%,22%,0%
Brazil - Serie B,Athletic Club,9.0,2.67,100%,67%,56%,22%,11%,11%,33%,11%,56%,11%,56%
Brazil - Serie B,Botafogo SP,10.0,2.6,100%,80%,50%,20%,10%,0%,50%,0%,50%,0%,50%
Brazil - Serie B,Cuiaba,9.0,2.44,100%,67%,44%,22%,11%,0%,67%,33%,0%,33%,0%
Brazil - Serie B,America MG,9.0,2.22,100%,56%,44%,22%,0%,0%,33%,22%,44%,22%,44%
Brazil - Serie B,Atletico GO,9.0,2.22,89%,78%,22%,11%,11%,11%,67%,22%,22%,11%,11%
Brazil - Serie B,Avai,9.0,2.22,89%,78%,44%,11%,0%,0%,56%,44%,11%,33%,0%
Brazil - Serie B,Operario PR,9.0,2.22,89%,67%,44%,11%,11%,0%,33%,33%,44%,22%,33%
Brazil - Serie B,Chapecoense,9.0,2.11,100%,67%,44%,0%,0%,0%,56%,22%,22%,22%,22%
Brazil - Serie B,Criciuma,9.0,2.11,89%,67%,44%,11%,0%,0%,56%,22%,33%,11%,22%
Brazil - Serie B,Novorizontino,9.0,2.11,89%,67%,33%,22%,0%,0%,56%,33%,22%,22%,11%
Brazil - Serie B,Remo,9.0,2.0,100%,78%,11%,11%,0%,0%,56%,44%,0%,44%,0%
Brazil - Serie B,CRB,9.0,1.89,100%,67%,22%,0%,0%,0%,56%,33%,11%,33%,11%
Brazil - Serie B,Paysandu,9.0,1.89,78%,56%,33%,22%,0%,0%,44%,22%,56%,0%,33%
Brazil - Serie B,Ferroviaria,10.0,1.8,80%,70%,20%,10%,0%,0%,50%,30%,40%,10%,20%
Brazil - Serie B,Amazonas,9.0,1.78,89%,67%,11%,11%,0%,0%,44%,22%,44%,11%,33%
Brazil - Serie B,Goias,9.0,1.78,89%,44%,33%,11%,0%,0%,33%,56%,22%,44%,11%
Brazil - Serie B,Vila Nova,9.0,1.78,100%,44%,22%,11%,0%,0%,22%,44%,33%,44%,33%
Brazil - Serie B,Coritiba,9.0,1.44,89%,33%,22%,0%,0%,0%,22%,56%,33%,44%,22%
Brazil - Serie B,Volta Redonda,9.0,1.22,78%,33%,11%,0%,0%,0%,33%,33%,56%,11%,33%
Brazil - Serie B,,,,,,,,,,,,,,
Brazil - Serie B,League average,,,92.3%,63.7%,34.1%,12.1%,3.3%,1.1%,47.3%,30.2%,30.2%,22.5%,22.5%
Brazil - Serie C,Maringa,7.0,3.14,100%,86%,43%,43%,43%,0%,86%,14%,0%,14%,0%
Brazil - Serie C,Figueirense,7.0,2.71,86%,86%,43%,29%,29%,0%,71%,29%,14%,14%,0%
Brazil - Serie C,ABC,7.0,2.57,86%,71%,29%,29%,29%,14%,71%,29%,14%,14%,0%
Brazil - Serie C,Caxias,7.0,2.57,100%,71%,57%,14%,14%,0%,57%,29%,14%,29%,14%
Brazil - Serie C,Confianca,7.0,2.57,86%,86%,57%,14%,14%,0%,43%,14%,57%,0%,43%
Brazil - Serie C,Itabaiana,7.0,2.43,100%,71%,43%,14%,14%,0%,57%,0%,43%,0%,43%
Brazil - Serie C,Ypiranga,7.0,2.29,86%,43%,43%,43%,14%,0%,29%,43%,43%,29%,29%
Brazil - Serie C,Ponte Preta,7.0,2.14,100%,57%,29%,14%,14%,0%,43%,57%,0%,57%,0%
Brazil - Serie C,Botafogo PB,7.0,2.0,71%,57%,43%,14%,14%,0%,43%,57%,29%,29%,0%
Brazil - Serie C,Londrina,7.0,2.0,86%,86%,14%,14%,0%,0%,57%,43%,14%,29%,0%
Brazil - Serie C,Tombense,7.0,2.0,71%,57%,29%,29%,14%,0%,43%,43%,43%,14%,14%
Brazil - Serie C,Anapolis,7.0,1.86,71%,57%,14%,14%,14%,14%,43%,29%,57%,0%,29%
Brazil - Serie C,CSA,7.0,1.86,71%,57%,29%,14%,14%,0%,57%,29%,43%,0%,14%
Brazil - Serie C,Ituano,7.0,1.86,71%,43%,29%,29%,14%,0%,29%,43%,57%,14%,29%
Brazil - Serie C,Nautico,7.0,1.86,71%,57%,43%,14%,0%,0%,29%,57%,43%,29%,14%
Brazil - Serie C,Guarani,7.0,1.71,71%,43%,29%,14%,14%,0%,29%,29%,71%,0%,43%
Brazil - Serie C,Retro,7.0,1.43,86%,29%,29%,0%,0%,0%,29%,29%,57%,14%,43%
Brazil - Serie C,Brusque,7.0,1.29,71%,14%,14%,14%,14%,0%,14%,71%,43%,43%,14%
Brazil - Serie C,Floresta,7.0,1.29,57%,29%,14%,14%,14%,0%,14%,57%,71%,14%,29%
Brazil - Serie C,Sao Bernardo,7.0,1.0,86%,14%,0%,0%,0%,0%,14%,57%,43%,43%,29%
Brazil - Serie C,,,,,,,,,,,,,,
Brazil - Serie C,League average,,,81.4%,55.7%,31.4%,18.6%,14.3%,1.4%,42.9%,37.9%,37.9%,19.3%,19.3%
Bulgaria - Parva Liga,Slavia Sofia,37.0,2.76,97%,65%,46%,35%,27%,5%,59%,16%,27%,14%,24%
Bulgaria - Parva Liga,Spartak Varna,36.0,2.72,97%,72%,56%,33%,11%,3%,50%,33%,19%,31%,17%
Bulgaria - Parva Liga,Botev Vratsa,37.0,2.68,95%,73%,51%,30%,14%,5%,43%,19%,43%,14%,38%
Bulgaria - Parva Liga,Septemvri Sofia,37.0,2.65,97%,70%,43%,27%,19%,5%,41%,19%,43%,16%,41%
Bulgaria - Parva Liga,Arda,36.0,2.64,94%,81%,44%,28%,11%,6%,56%,31%,19%,25%,14%
Bulgaria - Parva Liga,Levski Sofia,36.0,2.58,94%,75%,42%,22%,14%,8%,44%,47%,14%,42%,8%
Bulgaria - Parva Liga,Ludogorets,36.0,2.56,94%,78%,50%,22%,6%,6%,39%,56%,11%,50%,6%
Bulgaria - Parva Liga,Lokomotiv Sofia,37.0,2.54,86%,76%,51%,19%,16%,3%,41%,32%,41%,19%,27%
Bulgaria - Parva Liga,CSKA 1948 Sofia,37.0,2.49,92%,76%,41%,27%,11%,3%,46%,35%,27%,27%,19%
Bulgaria - Parva Liga,Hebar,37.0,2.49,89%,65%,46%,27%,14%,5%,49%,14%,49%,3%,38%
Bulgaria - Parva Liga,Botev Plovdiv,36.0,2.39,97%,58%,39%,25%,14%,6%,36%,39%,28%,36%,25%
Bulgaria - Parva Liga,CSKA Sofia,36.0,2.39,97%,64%,47%,28%,3%,0%,33%,44%,25%,42%,22%
Bulgaria - Parva Liga,Beroe,36.0,2.33,92%,69%,44%,14%,8%,6%,44%,31%,33%,22%,25%
Bulgaria - Parva Liga,Lok. Plovdiv,37.0,2.32,92%,65%,43%,19%,8%,5%,46%,24%,38%,16%,30%
Bulgaria - Parva Liga,Cherno More,36.0,2.06,86%,72%,33%,11%,3%,0%,47%,39%,28%,25%,14%
Bulgaria - Parva Liga,L. Krumovgrad,37.0,1.76,84%,49%,30%,11%,3%,0%,16%,35%,65%,19%,49%
Bulgaria - Parva Liga,,,,,,,,,,,,,,
Bulgaria - Parva Liga,League average,,,92.8%,69.2%,44.2%,23.6%,11.3%,4.1%,43.2%,32.0%,32.0%,24.8%,24.8%
Canada - Premier League,A. Ottawa,8.0,4.38,100%,100%,88%,88%,38%,12%,88%,0%,12%,0%,12%
Canada - Premier League,Valour,7.0,3.29,100%,86%,57%,43%,14%,14%,57%,0%,43%,0%,43%
Canada - Premier League,Cavalry,7.0,3.0,100%,86%,71%,43%,0%,0%,43%,43%,14%,43%,14%
Canada - Premier League,York Utd,8.0,3.0,100%,88%,75%,25%,12%,0%,75%,25%,0%,25%,0%
Canada - Premier League,Pacific,8.0,2.75,100%,88%,50%,38%,0%,0%,50%,12%,38%,12%,38%
